005170028;TRAVELGUM*10GOMME MAST 20MG;COOPER CONSUMER HEALTH BV;13,000;;5,760;;;252;;;;;;10;R06AA11
005268038;PYRALVEX*50+10MG/ML 10ML GENG;MEDA PHARMA SpA;12,800;;5,470;;;135;;;;;;10;A01AB11
005408024;BRUNIZINA*GTT NAS 10ML 0,2%;BRUSCHETTINI Srl;5,900;;3,760;;;34;;;;;;10;R01AA08
005556016;ORTODERMINA*CREMA 50G 5%;ALFASIGMA SpA;17,500;;8,310;;;5;;;;;;10;D04AB01
005556028;ORTODERMINA*CREMA 10G 5%;ALFASIGMA SpA;11,900;;5,750;;;21;;;;;;10;D04AB01
005638010;LUAN*GEL 15G 2,5%+APPLICATORE;MOLTENI & C. F.LLI ALITTI SpA;8,045;;5,120;;;89;;;;;;10;G04BX
005638022;LUAN*GEL 100G 1% CHIRURGICO;MOLTENI & C. F.LLI ALITTI SpA;11,065;;6,980;;;36;;;;;;10;N01BB02
005647033;BECOZYM*20CPR GASTRORES;BAYER SpA;15,900;;10,170;;;11;;;;;;10;A11EA
005781036;MAGNESIA BISURATA AROM*40CPR;HALEON ITALY Srl;12,650;;8,150;;;38;;;;;;10;A02AH
005781048;MAGNESIA BISURATA AROM*80CPR;HALEON ITALY Srl;17,350;;11,090;;;50;;;;;;10;A02AH
005982020;TOCALFA*20CPS MOLLI 50000UI+50;DIFA COOPER SpA;15,500;8050030160153;9,900;;;197;;;;;;10;A11JA
006228062;FOILLE SCOTTATURE*CREMA 29,5G;VEMEDIA MANUFACTURING B.V.;13,100;;5,780;;;166;;;;;;10;D04AB04
006570028;MAGNESIA S.PELL*POLV 100G 90%;VEMEDIA MANUFACTURING B.V.;11,150;;4,400;;;33;;;;;;10;A02AA04
006570257;MAGNESIA S.PELL*EFF LIM 100G;SANOFI SpA;11,150;;4,380;;;464;;;;;;10;A02AA04
006979049;BUSCOPAN*6SUPP 10MG;OPELLA HEALTHCARE ITALY Srl;9,900;;6,400;;;29;;;;;;10;A03BB01
006979088;BUSCOPAN*40CPR RIV 10MG;OPELLA HEALTHCARE ITALY Srl;17,900;;10,740;;;748;;;;;;10;A03BB01
007312010;OTOMIDONE*GTT OTO 10ML;SIT LABORATORIO FARMAC. Srl;9,800;;4,590;;;5;;;;;;10;S02DA30
008883035;TIOCALMINA*SCIR 200G;POLIFARMA BENESSERE Srl;12,500;;6,570;;;19;;;;;;10;R05FB02
008997025;DULCOLAX*AD 6SUPP 10MG;OPELLA HEALTHCARE ITALY Srl;8,900;;5,710;;;6;;;;;;10;A06AB02
008997064;DULCOLAX*40CPR RIV 5MG;OPELLA HEALTHCARE ITALY Srl;13,900;;7,860;;;255;;;;;;10;A06AB02
008997076;DULCOLAX*20CPR RIV 5MG;OPELLA HEALTHCARE ITALY Srl;8,500;;5,320;;;36;;;;;;10;A06AB02
