sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,status,visibility,price,special_price,special_from_date,special_to_date,tax_class_name,qty,is_in_stock,manufacturer,ean,supplier,url_key
002860043,default,Default,simple,54,base,Luminale 30cpr 15mg,Luminale*30cpr 15mg,Luminale*30cpr 15mg,1,1,4,0.81,,,,Taxable Goods,1,1,509,002860043,2759,luminale-30cpr-15mg-002860043
002866174,default,Default,simple,54,base,Chemicetina 3 Ov 500mg,Chemicetina*3 Ov 500mg,Chemicetina*3 Ov 500mg,1,1,4,7.80,,,,Taxable Goods,1,1,315,002866174,2759,chemicetina-3-ov-500mg-002866174
002866186,default,Default,simple,54,base,Chemicetina 3 Ov 250mg,Chemicetina*3 Ov 250mg,Chemicetina*3 Ov 250mg,1,1,4,5.72,,,,Taxable Goods,0,0,315,002866186,2759,chemicetina-3-ov-250mg-002866186
002868014,default,Default,simple,54,base,Menovis im 1f 5mg+50mg+1f 4ml,Menovis*im 1f 5mg+50mg+1f 4ml,Menovis*im 1f 5mg+50mg+1f 4ml,1,1,4,6.56,,,,Taxable Goods,0,0,5281,002868014,2759,menovis-im-1f-5mg-50mg-1f-4ml-002868014
002922058,default,Default,simple,54,base,Testoviron im F 100mg 1ml,Testoviron*im F 100mg 1ml,Testoviron*im F 100mg 1ml,1,1,4,4.47,,,,Taxable Goods,0,0,221,002922058,2759,testoviron-im-f-100mg-1ml-002922058
002922060,default,Default,simple,54,base,Testoviron im F 250mg 1ml Rp,Testoviron*im F 250mg 1ml Rp,Testoviron*im F 250mg 1ml Rp,1,1,4,7.28,,,,Taxable Goods,1,1,0,002922060,2759,testoviron-im-f-250mg-1ml-rp-002922060
002955072,default,Default,simple,54,base,Xamamina Mal Di Viag 10cps50mg,Xamamina Mal Di Viag*10cps50mg,Xamamina Mal Di Viag*10cps50mg,1,1,4,4.64,,,,Taxable Goods,0,0,236,002955072,2759,xamamina-mal-di-viag-10cps50mg-002955072
002955134,default,Default,simple,54,base,Xamamina 6 Gomme Mast 25mg,Xamamina*6 Gomme Mast 25mg,Xamamina*6 Gomme Mast 25mg,1,1,4,5.85,,,,Taxable Goods,0,0,236,002955134,2759,xamamina-6-gomme-mast-25mg-002955134
002991026,default,Default,simple,54,base,Diagran 40cpr Riv,Diagran*40cpr Riv,Diagran*40cpr Riv,1,1,4,8.05,,,,Taxable Goods,0,0,5281,002991026,2759,diagran-40cpr-riv-002991026
002992016,default,Default,simple,54,base,Streptomicina Solf.squibb 1/mu,Streptomicina Solf.squibb*1/mu,Streptomicina Solf.squibb*1/mu,1,1,4,1.16,,,,Taxable Goods,0,0,339,002992016,2759,streptomicina-solf-squibb-1-mu-002992016
003214018,default,Default,simple,54,base,Hydrotricine 24cpr Orosol 1mg,Hydrotricine*24cpr Orosol 1mg,Hydrotricine*24cpr Orosol 1mg,1,1,4,3.38,,,,Taxable Goods,3,1,238,003214018,2759,hydrotricine-24cpr-orosol-1mg-003214018
